tTarget,tCal,TE_1_K,TE_2_K,TE_5_K,TE_7_K,TE_8_K,TE_9_K,TE_10_K
345.0,tCal,338.52,338.54,338.57,338.59,338.61,338.64,338.67
345.0,tCal,338.82,338.84,338.86,338.89,338.91,338.93,338.97
345.0,tCal,339.12,339.14,339.17,339.2,339.22,339.24,339.27
345.0,tCal,339.44,339.45,339.49,339.52,339.55,339.58,339.6
345.0,tCal,339.76,339.79,339.82,339.86,339.9,339.93,339.97
345.0,tCal,340.16,340.19,340.24,340.28,340.31,340.36,340.4
345.0,tCal,340.61,340.66,340.69,340.73,340.79,340.82,340.87
345.0,tCal,341.12,341.16,341.21,341.26,341.3,341.35,341.4
345.0,tCal,341.67,341.72,341.78,341.82,341.88,341.94,341.98
345.0,tCal,342.26,342.31,342.37,342.43,342.48,342.53,342.6
345.0,tCal,342.87,342.94,342.99,343.04,343.1,343.15,343.21
345.0,tCal,343.48,343.53,343.59,343.62,343.68,343.73,343.78
345.0,tCal,344.06,344.1,344.15,344.2,344.25,344.3,344.35
345.0,tCal,344.6,344.66,344.69,344.74,344.79,344.83,344.87
345.0,tCal,345.11,345.15,345.2,345.24,345.28,345.32,345.36
345.0,tCal,345.56,345.6,345.63,345.68,345.71,345.76,345.79
345.0,tCal,345.97,346.01,346.04,346.07,346.1,346.14,346.18
345.0,tCal,346.36,346.39,346.42,346.46,346.5,346.52,346.56
345.0,tCal,346.73,346.75,346.78,346.82,346.84,346.87,346.91
345.0,tCal,347.08,347.11,347.13,347.17,347.2,347.23,347.26
345.0,tCal,347.42,347.45,347.48,347.51,347.53,347.56,347.59
345.0,tCal,347.75,347.78,347.82,347.84,347.87,347.9,347.93
345.0,tCal,348.08,348.12,348.15,348.17,348.2,348.22,348.27
345.0,tCal,348.41,348.44,348.47,348.5,348.53,348.56,348.58
345.0,tCal,348.72,348.75,348.78,348.8,348.83,348.86,348.88
345.0,tCal,349.03,349.04,349.07,349.09,349.12,349.14,349.16
345.0,tCal,349.31,349.33,349.35,349.38,349.4,349.42,349.45
345.0,tCal,349.57,349.59,349.61,349.63,349.65,349.68,349.7
345.0,tCal,349.8,349.83,349.85,349.86,349.89,349.91,349.93
345.0,tCal,350.04,350.06,350.08,350.1,350.12,350.13,350.15
345.0,tCal,350.24,350.26,350.27,350.29,350.3,350.33,350.35
345.0,tCal,350.44,350.45,350.47,350.47,350.49,350.5,350.52
345.0,tCal,350.6,350.61,350.63,350.64,350.66,350.67,350.68
345.0,tCal,350.76,350.77,350.78,350.81,350.81,350.82,350.84
345.0,tCal,350.9,350.9,350.92,350.94,350.95,350.95,350.96
345.0,tCal,351.03,351.03,351.04,351.05,351.06,351.08,351.08
345.0,tCal,351.14,351.14,351.16,351.18,351.19,351.19,351.19
345.0,tCal,351.25,351.26,351.27,351.29,351.3,351.3,351.3
345.0,tCal,351.35,351.36,351.38,351.38,351.39,351.4,351.41
345.0,tCal,351.46,351.46,351.47,351.48,351.49,351.49,351.5
345.0,tCal,351.54,351.54,351.55,351.55,351.56,351.57,351.57
345.0,tCal,351.61,351.62,351.62,351.63,351.63,351.65,351.65
345.0,tCal,351.66,351.67,351.68,351.67,351.68,351.68,351.7
345.0,tCal,351.71,351.72,351.72,351.73,351.73,351.73,351.72
345.0,tCal,351.76,351.75,351.77,351.76,351.77,351.77,351.77
345.0,tCal,351.78,351.78,351.78,351.79,351.79,351.81,351.81
345.0,tCal,351.82,351.82,351.82,351.82,351.83,351.83,351.83
345.0,tCal,351.84,351.83,351.83,351.84,351.84,351.83,351.84
345.0,tCal,351.83,351.83,351.83,351.83,351.84,351.83,351.83
345.0,tCal,351.83,351.82,351.82,351.82,351.84,351.82,351.82
345.0,tCal,351.81,351.81,351.82,351.81,351.81,351.81,351.81
345.0,tCal,351.81,351.81,351.8,351.79,351.8,351.79,351.8
345.0,tCal,351.78,351.77,351.78,351.77,351.77,351.77,351.78
345.0,tCal,351.76,351.76,351.77,351.75,351.75,351.76,351.75
345.0,tCal,351.75,351.75,351.74,351.74,351.74,351.73,351.73
345.0,tCal,351.71,351.71,351.7,351.71,351.71,351.69,351.69
450.0,tCal,351.67,351.67,351.66,351.67,351.66,351.65,351.65
450.0,tCal,351.62,351.6,351.59,351.58,351.58,351.58,351.57
450.0,tCal,351.55,351.55,351.55,351.54,351.54,351.53,351.55
