tSensor,tInstr,tTarget
24.2461,24,40
24.2799,24,40
24.2461,24,40
24.2799,24,40
24.2461,24,40
24.3137,24,40
24.4152,24,40
24.5166,24,40
24.5843,24,40
24.5166,24,40
24.5504,24,40
24.5504,24,40
24.5504,24,40
24.5166,24,40
24.5504,24,40
24.4828,24,40
24.5166,24,40
24.4828,24,40
24.449,24,40
24.4828,24,40
24.4828,24,40
24.4152,24,40
24.4152,24,40
24.449,24,40
24.4828,24,40
24.4152,24,40
24.4828,24,40
24.4828,24,40
24.4828,24,40
24.5166,24,40
24.5504,24,40
24.5504,24,40
24.5843,24,40
24.5843,24,40
24.5504,24,40
24.4828,24,40
24.4828,24,40
24.4828,24,40
24.449,24,40
24.4152,24,40
